brand,mentions,pages_with_mentions,positive_pages,negative_pages,neutral_pages,review_count,mention_sov_%,page_presence_sov_%,positive_sov_%,engagement_sov_%,sentiment_balance,weighted_sov_%
Atomberg,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Crompton,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Havells,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Orient,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Usha,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Bajaj,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Luminous,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Polar,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
